,Company,Year,Number of CSA Articles,Scaled Number of CSA Articles,Normalized Scaled Number of CSA Articles
34,3m co,2020.0,41.0,0.03543647363872083,0.1449673921584034
35,3m co,2021.0,27.0,0.2,0.8181818181818182
36,3m co,2022.0,43.0,,
37,a-mark precious metals inc,2014.0,1.0,0.058823529411764705,1.0
38,abbott laboratories,1983.0,1.0,0.024390243902439025,1.0
39,abbott laboratories,1986.0,1.0,0.004761904761904762,0.19523809523809524
40,abbott laboratories,1988.0,1.0,0.003484320557491289,0.14285714285714285
41,abbott laboratories,1989.0,1.0,0.0028169014084507044,0.11549295774647887
42,abbott laboratories,1990.0,2.0,0.0042643923240938165,0.17484008528784648
43,abbott laboratories,1991.0,2.0,0.005076142131979695,0.2081218274111675
44,abbott laboratories,1993.0,1.0,0.0015060240963855422,0.06174698795180723
45,abbott laboratories,1994.0,8.0,0.0125,0.5125
46,abbott laboratories,1995.0,1.0,0.0015600624024961,0.06396255850234009
47,abbott laboratories,1996.0,2.0,0.0019120458891013384,0.07839388145315487
48,abbott laboratories,1997.0,1.0,0.0013568521031207597,0.05563093622795115
49,abbott laboratories,1998.0,6.0,0.004709576138147566,0.19309262166405022
50,abbott laboratories,1999.0,6.0,0.0036319612590799033,0.14891041162227603
51,abbott laboratories,2000.0,4.0,0.002379535990481856,0.0975609756097561
52,abbott laboratories,2001.0,6.0,0.003257328990228013,0.13355048859934854
53,abbott laboratories,2002.0,7.0,0.003230272265805261,0.1324411628980157
54,abbott laboratories,2003.0,6.0,0.003019627579265224,0.12380473074987418
55,abbott laboratories,2004.0,14.0,0.006105538595726123,0.25032708242477103
56,abbott laboratories,2005.0,12.0,0.006448146157979581,0.2643739924771628
57,abbott laboratories,2006.0,5.0,0.002565418163160595,0.1051821446895844
58,abbott laboratories,2007.0,8.0,0.004305705059203444,0.1765339074273412
59,abbott laboratories,2008.0,8.0,0.005621925509486999,0.23049894588896697
60,abbott laboratories,2009.0,11.0,0.007028753993610224,0.2881789137380192
61,abbott laboratories,2010.0,16.0,0.008908685968819599,0.3652561247216035
62,abbott laboratories,2011.0,8.0,0.004217185028993147,0.17290458618871904
63,abbott laboratories,2012.0,4.0,0.0018656716417910447,0.07649253731343283
64,abbott laboratories,2013.0,5.0,0.002997601918465228,0.12290167865707434
65,abbott laboratories,2014.0,7.0,0.003556910569105691,0.14583333333333331
66,abbott laboratories,2015.0,5.0,0.0032981530343007917,0.13522427440633245
67,abbott laboratories,2016.0,8.0,0.003864734299516908,0.15845410628019324
68,abbott laboratories,2017.0,4.0,0.002600780234070221,0.10663198959687906
69,abbott laboratories,2018.0,6.0,0.006085192697768763,0.24949290060851925
70,abbott laboratories,2019.0,13.0,0.013584117032392894,0.5569487983281086
71,abbott laboratories,2020.0,10.0,0.005521811154058531,0.22639425731639978
72,abbott laboratories,2021.0,8.0,0.007194244604316547,0.2949640287769784
73,abbott laboratories,2022.0,7.0,0.0045336787564766836,0.185880829015544
74,abbvie inc,2012.0,1.0,0.009009009009009009,1.0
75,abbvie inc,2013.0,4.0,0.004268943436499467,0.4738527214514408
76,abbvie inc,2014.0,7.0,0.0030004286326618087,0.33304757822546077
77,abbvie inc,2015.0,6.0,0.0033149171270718232,0.3679558011049724
78,abbvie inc,2016.0,7.0,0.0037393162393162395,0.4150641025641026
79,abbvie inc,2017.0,5.0,0.0031486146095717885,0.3494962216624685
80,abbvie inc,2018.0,11.0,0.007348029392117568,0.8156312625250501
81,abbvie inc,2019.0,11.0,0.006387921022067364,0.7090592334494774
82,abbvie inc,2020.0,8.0,0.005563282336578581,0.6175243393602226
83,abbvie inc,2021.0,9.0,0.005538461538461538,0.6147692307692307
84,abbvie inc,2022.0,11.0,0.0069138906348208675,0.7674418604651163
85,abm industries inc,2001.0,1.0,0.013888888888888888,0.6944444444444444
86,abm industries inc,2011.0,1.0,0.00819672131147541,0.4098360655737705
87,abm industries inc,2018.0,1.0,0.02,1.0
88,abm industries inc,2020.0,1.0,0.015151515151515152,0.7575757575757576
89,activision blizzard inc,2016.0,1.0,0.00130718954248366,0.08464052287581698
90,activision blizzard inc,2017.0,1.0,0.0021141649048625794,0.136892177589852
91,activision blizzard inc,2021.0,12.0,0.015444015444015444,1.0
92,activision blizzard inc,2022.0,8.0,0.005092297899427116,0.32972628898790574
93,adobe inc,1986.0,2.0,0.004158004158004158,0.7624740124740125
94,adobe inc,1987.0,1.0,0.001589825119236884,0.2915341812400636
95,adobe inc,1989.0,1.0,0.001075268817204301,0.1971774193548387
96,adobe inc,1991.0,1.0,0.0010330578512396695,0.18943698347107438
97,adobe inc,1992.0,1.0,0.0007002801120448179,0.12841386554621848
98,adobe inc,1995.0,2.0,0.0008624407072013799,0.15815006468305304
99,adobe inc,1997.0,2.0,0.0007880220646178094,0.14450354609929078
100,adobe inc,1998.0,2.0,0.00048484848484848484,0.08890909090909091
101,adobe inc,1999.0,1.0,0.00020593080724876442,0.03776256177924217
102,adobe inc,2000.0,3.0,0.0005771450557906887,0.10583397460561754
103,adobe inc,2001.0,2.0,0.0004036326942482341,0.07401614530776993
104,adobe inc,2002.0,3.0,0.0006547359231776517,0.12006219991270187
105,adobe inc,2003.0,4.0,0.0007439092430723452,0.13641435744839128
106,adobe inc,2004.0,3.0,0.0005141388174807198,0.09428020565552699
107,adobe inc,2005.0,9.0,0.0015806111696522655,0.2898445732349842
108,adobe inc,2006.0,2.0,0.00032169856844137045,0.058991474987936304
